序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
424,688560,明冠新材,2020/12/31,20201224,74.88,15.87,2020/12/24,0.2,-0.4,2.38%,109.7,0.03,-0.04,33.92
425,688561,奇安信,2020/7/31,20200722,65.12,56.1,2020/7/22,2.7,-2.4,7.94%,138.06,-0.02,0.01,133.55
427,688565,力源科技,2021/5/31,20210513,71.16,9.39,2021/5/13,1.3,9,5.38%,176.89,-0.16,-0.15,18.17
428,688566,吉贝尔,2020/5/31,20200518,67.33,23.69,2020/5/18,2.4,-3.7,1.92%,92.91,0.2,-0.05,51.93
429,688567,孚能科技,2020/7/31,20200717,63.28,15.9,2020/7/17,2.7,-2.4,15.31%,75.85,0.05,0.01,29.78
430,688568,中科星图,2020/7/31,20200708,69.67,16.21,2020/7/8,2.7,-2.4,7.94%,438.37,0.14,-0.08,100.31
431,688569,铁科轨道,2020/8/31,20200831,68.94,22.46,2020/8/31,2.4,-2,7.56%,52.89,-0.09,-0.07,33.51
432,688571,杭华股份,2020/12/31,20201211,71.4,5.33,2020/12/11,0.2,-0.4,-8.19%,174.3,-0.2,0.05,14.04
433,688575,亚辉龙,2021/5/31,20210517,78.33,14.8,2021/5/17,1.3,9,9.23%,332.43,-0.05,0,46.82
434,688577,浙海德曼,2020/9/30,20200916,77.29,33.13,2020/9/16,1.7,-2.1,-3.78%,85.15,0.08,-0.12,65.32
435,688578,艾力斯,2020/12/31,20201202,76.6,22.73,2020/12/2,0.2,-0.4,-5.36%,69.6,-0.03,-0.09,38.55
436,688579,山大地纬,2020/7/31,20200717,79.44,8.12,2020/7/17,2.7,-2.4,7.94%,271.92,-0.16,0.06,29.63
437,688580,伟思医疗,2020/7/31,20200721,70.8,67.58,2020/7/21,2.7,-2.4,16.19%,167.83,-0.05,-0.03,175.37
439,688585,上纬新材,2020/9/30,20200928,80.2,2.49,2020/9/28,1.7,-2.1,-5.29%,556.63,-0.11,-0.02,16.22
440,688586,江航装备,2020/7/31,20200731,76.31,10.27,2020/7/31,2.7,-2.4,26.62%,292.99,0.24,-0.07,35.08
441,688588,凌志软件,2020/5/31,20200511,76.46,11.49,2020/5/11,2.4,-3.7,-0.83%,264.93,-0.02,0.19,48.02
442,688589,力合微,2020/7/31,20200722,77.88,17.91,2020/7/22,2.7,-2.4,10.01%,341.49,0.07,-0.16,83.21
443,688590,新致软件,2020/12/31,20201207,77.29,10.73,2020/12/7,0.2,-0.4,-8.22%,151.26,-0.05,0.01,20.13
444,688595,芯海科技,2020/9/30,20200928,81.84,22.82,2020/9/28,1.7,-2.1,-5.13%,175.24,0.11,-0.11,49.46
445,688596,正帆科技,2020/8/31,20200820,76.37,15.67,2020/8/20,2.4,-2,4.85%,111.23,0.02,-0.1,33.16
446,688597,煜邦电力,2021/6/30,20210617,69.49,5.88,2021/6/17,1.1,8.8,8.94%,144.56,-0.09,0.02,14.09
447,688598,金博股份,2020/5/31,20200518,72.29,47.2,2020/5/18,2.4,-3.7,-1.12%,92.65,0.06,-0.04,95.67
448,688599,天合光能,2020/6/30,20200610,69.43,8.16,2020/6/10,2.5,-3,5.99%,110.91,0.02,0.02,17.65
449,688600,皖仪科技,2020/7/31,20200703,71.9,15.5,2020/7/3,2.7,-2.4,9.95%,131.61,-0.01,0.04,36.08
450,688601,力芯微,2021/6/30,20210628,81.38,36.48,2021/6/28,1.1,8.8,21.34%,327.63,0.06,0.12,130.45
451,688606,奥泰生物,2021/3/31,20210325,62.31,133.67,2021/3/25,0.4,4.4,-1.21%,30.13,-0.13,-0.06,166.54
452,688607,康众医疗,2021/2/28,20210201,85.64,23.21,2021/2/1,-0.2,1.7,-0.29%,266.22,-0.31,0,83.42
453,688608,恒玄科技,2020/12/31,20201216,68.82,162.07,2020/12/16,0.2,-0.4,-2.46%,123.36,0.03,0,371.01
454,688609,九联科技,2021/3/31,20210323,79.8,3.99,2021/3/23,0.4,4.4,-2.52%,239.35,-0.21,-0.06,13.44
455,688611,杭州柯林,2021/4/30,20210412,70.83,33.44,2021/4/12,0.9,6.8,-1.42%,68.36,-0.14,-0.03,54.84
456,688613,奥精医疗,2021/5/31,20210521,84.73,16.43,2021/5/21,1.3,9,9.23%,478.27,-0.08,0.16,109.36
457,688616,西力科技,2021/3/31,20210318,73.87,7.35,2021/3/18,0.4,4.4,2.65%,150.07,-0.1,0,17.74
458,688617,惠泰医疗,2021/1/31,20210107,68.78,74.46,2021/1/7,-0.3,0.3,-1.09%,245.18,-0.12,-0.03,255.22
459,688618,三旺通信,2020/12/31,20201230,76.63,34.08,2020/12/30,0.2,-0.4,-10.94%,79.49,-0.12,0.03,62.62
460,688619,罗普特,2021/2/28,20210223,69.13,19.31,2021/2/23,-0.2,1.7,3.30%,102.43,-0.17,-0.02,38.83
461,688621,阳光诺和,2021/6/30,20210621,74.78,26.89,2021/6/21,1.1,8.8,2.58%,346.6,-0.01,-0.1,119.74
462,688622,禾信仪器,2021/9/30,20210913,83.01,17.7,2021/9/13,0.7,10.7,-3.83%,425.42,-0.04,0.05,93.44
463,688625,呈和科技,2021/6/30,20210607,77.12,16.48,2021/6/7,1.1,8.8,-2.00%,147.45,0.02,-0.06,44.42
464,688626,翔宇医疗,2021/3/31,20210331,71.43,28.82,2021/3/31,0.4,4.4,-1.21%,55.45,0.15,0.06,53.76
465,688628,优利德,2021/2/28,20210201,77.37,19.11,2021/2/1,-0.2,1.7,-1.13%,274.67,-0.29,0.06,69.87
466,688630,芯碁微装,2021/4/30,20210401,77.37,15.23,2021/4/1,0.9,6.8,-0.92%,189.56,0.52,0.04,71.11
467,688633,星球石墨,2021/3/31,20210324,73.56,33.62,2021/3/24,0.4,4.4,1.83%,84.12,-0.15,0.04,60.8
468,688636,智明达,2021/4/30,20210408,77.91,34.5,2021/4/8,0.9,6.8,-5.27%,212.99,-0.2,-0.12,107.56
469,688639,华恒生物,2021/4/30,20210422,73.22,23.16,2021/4/22,0.9,6.8,-8.28%,52.2,0.03,0.19,42.67
470,688655,迅捷兴,2021/5/31,20210511,71.68,7.59,2021/5/11,1.3,9,7.15%,197.23,-0.13,-0.06,22.42
471,688656,浩欧博,2021/1/31,20210113,83.32,35.26,2021/1/13,-0.3,0.3,-1.09%,81.51,0.2,-0.09,75.72
472,688658,悦康药业,2020/12/31,20201224,68.78,24.36,2020/12/24,0.2,-0.4,-5.36%,29.89,-0.15,-0.07,29.84
473,688659,元琛科技,2021/3/31,20210331,73.14,6.5,2021/3/31,0.4,4.4,14.65%,160.77,-0.16,0.06,16.57
474,688660,电气风电,2021/5/31,20210519,69.66,5.44,2021/5/19,1.3,9,7.38%,115.99,-0.05,-0.1,11.6
475,688661,和林微纳,2021/3/31,20210329,73.85,17.71,2021/3/29,0.4,4.4,-4.13%,86.9,0.28,0.04,47.23
476,688662,富信科技,2021/4/30,20210401,75.68,15.61,2021/4/1,0.9,6.8,3.18%,129.98,0.06,-0.07,37.28
477,688663,新风光,2021/4/30,20210413,74.86,14.48,2021/4/13,0.9,6.8,-1.42%,53.66,-0.11,0,21.91
478,688665,四方光电,2021/2/28,20210209,77.68,29.53,2021/2/9,-0.2,1.7,-1.13%,121.81,-0.27,0.07,64.57
479,688667,菱电电控,2021/3/31,20210312,70.13,75.42,2021/3/12,0.4,4.4,0.51%,65.08,-0.17,-0.01,123.76
480,688668,鼎通科技,2020/12/31,20201221,75.06,20.07,2020/12/21,0.2,-0.4,-10.94%,123.67,-0.14,-0.07,43.64
481,688669,聚石化学,2021/1/31,20210125,67.93,36.65,2021/1/25,-0.3,0.3,-0.09%,42.84,-0.14,0.02,51.73
483,688676,金盘科技,2021/3/31,20210309,75.89,10.1,2021/3/9,0.4,4.4,2.65%,141.09,-0.17,-0.04,23.6
484,688677,海泰新光,2021/2/28,20210226,75.5,35.76,2021/2/26,-0.2,1.7,-0.29%,57.21,0.16,0.05,67.63
485,688678,福立旺,2020/12/31,20201223,69.99,18.05,2020/12/23,0.2,-0.4,-7.11%,59.94,-0.1,-0.01,28.12
486,688679,通源环境,2020/12/31,20201225,70.25,12.05,2020/12/25,0.2,-0.4,-8.19%,57.84,-0.16,-0.03,18.52
487,688680,海优新材,2021/1/31,20210122,75.83,69.94,2021/1/22,-0.3,0.3,-7.05%,211.7,-0.06,0,216.96
488,688681,科汇股份,2021/6/30,20210616,68.07,9.56,2021/6/16,1.1,8.8,8.94%,157.43,-0.2,-0.02,24.39
489,688682,霍莱沃,2021/4/30,20210420,84.45,45.72,2021/4/20,0.9,6.8,-5.27%,126.4,-0.17,0.04,73.15
490,688683,莱尔科技,2021/4/30,20210412,73.03,9.51,2021/4/12,0.9,6.8,-3.30%,85.7,-0.08,-0.05,17.36
491,688685,迈信林,2021/5/31,20210513,84.65,9.02,2021/5/13,1.3,9,12.65%,240.02,-0.06,-0.14,30.67
492,688686,奥普特,2020/12/31,20201231,75.69,78.49,2020/12/31,0.2,-0.4,0.46%,176.21,0.19,0.05,182.39
493,688687,凯因科技,2021/2/28,20210208,72.34,18.98,2021/2/8,-0.2,1.7,1.12%,121.29,-0.24,0.02,41.2
494,688689,银河微电,2021/1/31,20210127,73.82,14.01,2021/1/27,-0.3,0.3,-5.68%,128.91,0.12,0.01,40.33
495,688690,纳微科技,2021/6/30,20210623,80.25,8.07,2021/6/23,1.1,8.8,-1.24%,"1,273.98",0.04,-0.1,117.18
496,688696,极米科技,2021/3/31,20210303,82.54,133.73,2021/3/3,0.4,4.4,-2.52%,296.33,0,0.16,430.15
497,688697,纽威数控,2021/9/30,20210917,71.94,7.55,2021/9/17,0.7,10.7,-7.61%,197.62,-0.15,0.03,22.08
498,688698,伟创电气,2020/12/31,20201229,80.91,10.75,2020/12/29,0.2,-0.4,0.46%,86.23,-0.03,-0.08,19.68
499,688699,明微电子,2020/12/31,20201218,72.78,38.43,2020/12/18,0.2,-0.4,-2.46%,118.53,-0.15,-0.12,55.14
500,688700,东威科技,2021/6/30,20210615,80.25,9.41,2021/6/15,1.1,8.8,4.41%,339.21,-0.23,0.04,40.92
502,688707,振华新材,2021/9/30,20210914,77.21,11.75,2021/9/14,0.7,10.7,-1.18%,299.74,0,-0.13,46.75
503,688711,宏微科技,2021/9/30,20210901,73.04,27.51,2021/9/1,0.7,10.7,-6.12%,179.53,0.31,-0.08,72.06
504,688718,唯赛勃,2021/7/31,20210728,89.6,5.85,2021/7/28,1,9,1.21%,586.84,0.12,-0.14,45.1
505,688722,同益中,2021/10/31,20211019,94.13,4.51,2021/10/19,1.5,13.5,-4.43%,262.08,-0.11,-0.06,16.33
506,688728,格科微,2021/8/31,20210818,70.37,14.38,2021/8/18,0.8,9.5,-9.41%,145.13,0.1,-0.08,38.71
507,688733,壹石通,2021/8/31,20210817,75.51,15.49,2021/8/17,0.8,9.5,10.26%,302.84,0.01,0.11,75.76
508,688737,中自科技,2021/10/31,20211022,55.3,70.9,2021/10/22,1.5,13.5,2.72%,-6.87,-0.03,-0.04,65.48
509,688739,成大生物,2021/10/31,20211028,53,110,2021/10/28,1.5,13.5,-5.30%,-27.27,-0.01,0.01,78.57
