序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,y
63,688072,拓荆科技,2022/4/30,20220420,78.57,71.88,2022/4/20,2.1,8,-17.40%,28.41,0.1,-0.03,101.59
64,688073,毕得医药,2022/10/31,20221011,41.06,88,2022/10/11,2.1,-1.3,4.03%,-23.4,0.06,0.09,81.79
65,688075,安旭生物,2021/11/30,20211118,67.15,78.28,2021/11/18,2.3,12.9,15.02%,13.44,-0.07,0,72.32
66,688076,诺泰生物,2021/5/31,20210520,72.03,15.57,2021/5/20,1.3,9,11.50%,397.75,0.01,0,78.29
67,688077,大地熊,2020/7/31,20200722,74.46,28.07,2020/7/22,2.7,-2.4,12.57%,117.35,0.39,-0.16,83.05
68,688078,龙软科技,2019/12/31,20191230,77.36,21.59,2019/12/30,4.5,-0.5,9.54%,126.49,0.04,-0.03,50.07
69,688079,美迪凯,2021/3/31,20210302,76.37,10.19,2021/3/2,0.4,4.4,0.65%,154.66,-0.15,-0.08,25.63
70,688080,映翰通,2020/2/29,20200212,82.12,27.63,2020/2/12,5.2,-0.4,4.94%,383.17,0.05,-0.05,139
71,688081,兴图新科,2020/1/31,20200106,75.65,28.21,2020/1/6,5.4,0.1,3.79%,86.92,0.02,0.03,54.69
72,688082,盛美上海,2021/11/30,20211118,72.49,85,2021/11/18,2.3,12.9,20.50%,52.65,-0.03,0.1,137.9
73,688083,中望软件,2021/3/31,20210311,71.28,150.5,2021/3/11,0.4,4.4,-1.36%,171.76,0.1,-0.11,318.62
74,688084,晶品特装,2022/12/31,20221208,66.82,60.98,2022/12/8,1.8,-0.7,-4.43%,44.47,0.02,0.08,98.99
75,688085,三友医疗,2020/4/30,20200409,71.29,20.96,2020/4/9,3.3,-3.1,6.01%,71.76,0.17,-0.02,37.79
76,688086,*ST紫晶,2020/2/29,20200226,69.43,21.49,2020/2/26,5.2,-0.4,3.57%,264.08,-0.11,-0.03,77.5
77,688087,英科再生,2021/7/31,20210709,76.61,21.96,2021/7/9,1,9,1.21%,255.28,0.12,0.23,114.73
78,688088,虹软科技,2019/7/31,20190722,79.57,28.88,2019/7/22,2.8,-0.3,-2.19%,126.97,-0.1,0.05,64.61
80,688090,瑞松科技,2020/2/29,20200217,75.69,27.55,2020/2/17,5.2,-0.4,6.16%,263.01,-0.07,0,98.46
81,688091,上海谊众,2021/9/30,20210909,68.28,38.1,2021/9/9,0.7,10.7,2.19%,28.58,-0.15,-0.05,32.64
82,688092,爱科科技,2021/3/31,20210319,85.34,19.11,2021/3/19,0.4,4.4,1.83%,128.21,-0.05,-0.11,42.8
83,688093,世华科技,2020/9/30,20200930,66.82,17.55,2020/9/30,1.7,-2.1,-6.93%,62.22,-0.04,0.01,20.09
84,688095,福昕软件,2020/9/30,20200908,67.53,238.53,2020/9/8,1.7,-2.1,-6.71%,29.66,0.06,-0.05,253.31
85,688096,京源环保,2020/4/30,20200409,72.48,14.34,2020/4/9,3.3,-3.1,2.49%,102.58,-0.06,-0.04,27.75
86,688097,博众精工,2021/5/31,20210512,73.45,11.27,2021/5/12,1.3,9,10.53%,85.27,0.14,0.04,25.21
87,688098,申联生物,2019/10/31,20191028,85.1,8.8,2019/10/28,3.8,-1.6,5.13%,318.3,-0.27,-0.17,36
88,688099,晶晨股份,2019/8/31,20190808,75.13,38.5,2019/8/8,2.8,-0.8,4.18%,272.36,0.05,-0.12,149.67
89,688100,威胜信息,2020/1/31,20200121,73.07,13.78,2020/1/21,5.4,0.1,1.11%,192.45,-0.12,-0.07,38.75
90,688101,三达膜,2019/11/30,20191115,67.15,18.26,2019/11/15,4.5,-1.4,-4.13%,48.96,-0.15,0.01,26.14
91,688102,斯瑞新材,2022/3/31,20220316,75.12,10.48,2022/3/16,1.5,8.3,-13.55%,90.08,-0.17,-0.1,19.8
92,688103,国力股份,2021/9/30,20210910,88.3,12.04,2021/9/10,0.7,10.7,-2.75%,516.28,0.08,-0.1,79.48
93,688105,诺唯赞,2021/11/30,20211115,71.05,55,2021/11/15,2.3,12.9,9.01%,55.18,0.11,0.02,99.87
94,688106,金宏气体,2020/6/30,20200616,69.84,15.48,2020/6/16,2.5,-3,13.97%,151.49,0,0,39.06
95,688107,安路科技,2021/11/30,20211112,77.24,26,2021/11/12,2.3,12.9,20.50%,170.19,-0.04,-0.07,82.34
96,688108,赛诺医疗,2019/10/31,20191030,83.07,6.99,2019/10/30,3.8,-1.6,2.53%,217.74,-0.15,0.03,22.13
97,688109,品茗科技,2021/3/31,20210330,70.1,50.05,2021/3/30,0.4,4.4,-1.36%,78.82,-0.14,0.02,86.64
99,688111,金山办公,2019/11/30,20191118,63.5,45.86,2019/11/18,4.5,-1.4,-3.40%,175.51,0.08,0.08,146.31
100,688112,鼎阳科技,2021/12/31,20211201,78.42,46.6,2021/12/1,1.5,10.3,1.02%,128.22,0,-0.02,109.61
101,688113,联测科技,2021/5/31,20210506,73.75,19.14,2021/5/6,1.3,9,6.91%,251.93,-0.13,0.13,72.71
102,688114,华大智造,2022/9/30,20220909,70.17,87.18,2022/9/9,2.8,0.9,-2.47%,14.71,0.09,0.13,124
103,688115,思林杰,2022/3/31,20220314,44.15,65.65,2022/3/14,1.5,8.3,-9.13%,-23.67,-0.08,-0.01,49.56
104,688116,天奈科技,2019/9/30,20190925,75.02,16,2019/9/25,3,-1.2,2.80%,221.19,-0.14,-0.02,51.21
105,688117,圣诺生物,2021/6/30,20210603,73.92,17.9,2021/6/3,1.1,8.8,-1.24%,265.98,0.02,-0.12,66.12
106,688118,普元信息,2019/12/31,20191204,83.72,26.9,2019/12/4,4.5,-0.5,9.54%,60.78,-0.09,-0.07,41.34
107,688119,中钢洛耐,2022/6/30,20220606,77.72,5.06,2022/6/6,2.5,6.1,8.34%,150.59,-0.19,0.01,12.68
108,688120,华海清科,2022/6/30,20220608,64.9,136.66,2022/6/8,2.5,6.1,12.19%,63.98,0.01,0.05,238.5
109,688121,卓然股份,2021/9/30,20210906,75.39,18.16,2021/9/6,0.7,10.7,-6.22%,116.02,0.04,0.13,46.28
110,688122,西部超导,2019/7/31,20190722,83.4,15,2019/7/22,2.8,-0.3,3.92%,266.6,-0.16,0.06,53.65
111,688123,聚辰股份,2019/12/31,20191223,73.2,33.25,2019/12/23,4.5,-0.5,13.40%,139.19,0.01,0.04,82.28
112,688125,安达智能,2022/4/30,20220415,49.41,60.55,2022/4/15,2.1,8,-18.61%,-23.25,-0.03,-0.06,45.39
